supplier_id,supplier_name,supplier_country,industry,order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,on_time_delivery,order_status,quantity_ordered,quantity_received,late_reason,quality_issue_flag
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00026,2024-02-22,2024-02-29,2024-03-08,7,15.0,8.0,0,Completed,892,892,Unknown,0
S009,Martinez Plc,Zambia,Automotive,O00027,2025-04-07,2025-04-21,2025-04-24,14,17.0,3.0,0,Completed,230,230,Weather,1
S028,Howe Group,Nauru,Pharmaceuticals,O00028,2024-03-22,2024-03-31,2024-03-29,9,7.0,-2.0,1,Completed,996,996,,0
S001,Jenkins Inc,Mongolia,Clothing,O00029,2024-01-14,2024-02-10,2024-02-06,27,23.0,-4.0,1,Partial,318,313,,0
S020,Mills Ltd,Rwanda,Automotive,O00030,2024-01-30,2024-02-26,2024-02-23,27,24.0,-3.0,1,Completed,946,946,,1
S030,Woods-Stevenson,Cote d'Ivoire,Automotive,O00031,2024-03-20,2024-04-01,2024-03-29,12,9.0,-3.0,1,Completed,421,421,,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00032,2024-03-04,2024-03-24,2024-03-24,20,20.0,0.0,1,Completed,753,753,,1
S006,"Drake, Davidson And Moreno",Greece,Food,O00033,2024-03-09,2024-04-05,2024-04-02,27,24.0,-3.0,1,Completed,64,64,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00034,2024-04-16,2024-05-07,2024-05-05,21,19.0,-2.0,1,Partial,86,81,,0
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00035,2024-12-21,2024-12-31,2025-01-05,10,15.0,5.0,0,Completed,888,888,Customs,0
S030,Woods-Stevenson,Cote d'Ivoire,Automotive,O00036,2023-11-21,2023-12-11,2023-12-10,20,19.0,-1.0,1,Completed,78,78,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00037,2024-02-08,2024-02-22,2024-02-20,14,12.0,-2.0,1,Completed,221,221,,1
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00038,2025-07-28,2025-08-03,2025-08-02,6,5.0,-1.0,1,Completed,906,906,,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00039,2024-03-19,2024-03-24,2024-04-04,5,16.0,11.0,0,Completed,799,799,Supplier delay,0
S008,Rowe-Ward,Anguilla,Food,O00040,2024-03-22,2024-04-17,2024-04-13,26,22.0,-4.0,1,Completed,302,302,,0
S030,Woods-Stevenson,Cote d'Ivoire,Automotive,O00041,2023-12-11,2024-01-09,2024-01-06,29,26.0,-3.0,1,Completed,168,168,,0
S013,Rodriguez Plc,Niue,Electronics,O00042,2025-01-24,2025-01-30,2025-02-01,6,8.0,2.0,0,Completed,99,99,Supplier delay,0
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00043,2024-09-17,2024-09-25,2024-09-30,8,13.0,5.0,0,Completed,522,522,Strike,0
S040,Romero Ltd,Jamaica,Food,O00044,2025-08-14,2025-09-10,2025-09-08,27,25.0,-2.0,1,Completed,296,296,,0
S039,Newton-Smith,Sierra Leone,Electronics,O00045,2025-07-25,2025-08-15,2025-08-18,21,24.0,3.0,0,Partial,877,857,Customs,1
S003,Bean-Christian,Montenegro,Pharmaceuticals,O00046,2024-04-15,2024-04-29,2024-04-25,14,10.0,-4.0,1,Completed,437,437,,1
S033,Romero-Phillips,Mauritania,Automotive,O00047,2025-08-07,2025-08-17,2025-08-21,10,14.0,4.0,0,Completed,887,887,Supplier delay,0
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00048,2024-06-04,2024-06-20,2024-06-27,16,23.0,7.0,0,Completed,373,373,Strike,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00049,2024-04-28,2024-05-04,2024-05-06,6,8.0,2.0,0,Completed,741,741,Customs,0
S002,Mason Plc,United States Virgin Islands,Food,O00050,2025-02-14,2025-02-20,2025-02-26,6,12.0,6.0,0,Completed,382,382,Customs,0
S035,Meadows-Carr,Vanuatu,Food,O00051,2024-05-11,2024-05-19,2024-05-26,8,15.0,7.0,0,Completed,744,744,Strike,0
S043,"Garza, Martin And Thomas",Greece,Food,O00052,2024-06-01,2024-06-19,2024-06-23,18,22.0,4.0,0,Completed,430,430,Customs,0
S043,"Garza, Martin And Thomas",Greece,Food,O00053,2024-04-30,2024-05-12,2024-05-21,12,21.0,9.0,0,Partial,718,713,Customs,0
S039,Newton-Smith,Sierra Leone,Electronics,O00054,2024-09-21,2024-10-09,2024-10-03,18,12.0,-6.0,1,Partial,449,438,,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00055,2024-09-30,2024-10-20,,20,,,0,Cancelled,902,0,Strike,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00056,2025-08-18,2025-08-23,2025-08-19,5,1.0,-4.0,1,Completed,952,952,,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00057,2023-11-25,2023-12-08,2023-12-12,13,17.0,4.0,0,Partial,949,935,Strike,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00058,2025-02-25,2025-03-09,2025-03-08,12,11.0,-1.0,1,Completed,985,985,,0
S002,Mason Plc,United States Virgin Islands,Food,O00059,2024-03-27,2024-04-11,2024-04-14,15,18.0,3.0,0,Completed,828,828,Weather,0
S011,Liu-Gomez,Guam,Clothing,O00060,2024-01-05,2024-01-27,2024-01-31,22,26.0,4.0,0,Completed,76,76,Unknown,0
S028,Howe Group,Nauru,Pharmaceuticals,O00061,2023-12-15,2023-12-24,2023-12-19,9,4.0,-5.0,1,Completed,955,955,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00062,2025-02-04,2025-02-20,2025-02-22,16,18.0,2.0,0,Completed,917,917,Supplier delay,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00063,2024-05-21,2024-06-13,2024-06-16,23,26.0,3.0,0,Completed,843,843,Unknown,1
S020,Mills Ltd,Rwanda,Automotive,O00064,2024-09-29,2024-10-24,2024-10-31,25,32.0,7.0,0,Completed,542,542,Customs,0
S048,Hodge Plc,Norfolk Island,Food,O00065,2025-05-09,2025-05-27,2025-06-04,18,26.0,8.0,0,Completed,946,946,Supplier delay,0
S041,Coleman-Duncan,Zimbabwe,Pharmaceuticals,O00066,2024-04-06,2024-04-22,2024-05-01,16,25.0,9.0,0,Completed,504,504,Weather,0
S006,"Drake, Davidson And Moreno",Greece,Food,O00067,2025-01-29,2025-02-14,2025-02-13,16,15.0,-1.0,1,Completed,236,236,,0
S024,Simmons Plc,Isle of Man,Automotive,O00068,2023-12-07,2024-01-02,2024-01-08,26,32.0,6.0,0,Completed,154,154,Weather,0
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00069,2025-01-01,2025-01-29,2025-01-29,28,28.0,0.0,1,Completed,111,111,,0
S042,Casey Plc,Colombia,Clothing,O00070,2024-06-17,2024-07-08,2024-07-15,21,28.0,7.0,0,Completed,836,836,Weather,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00071,2023-12-04,2023-12-22,2023-12-14,18,10.0,-8.0,1,Completed,444,444,,0
S025,Francis Group,Tokelau,Automotive,O00072,2023-10-03,2023-10-11,2023-10-12,8,9.0,1.0,0,Completed,121,121,Customs,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00073,2023-10-18,2023-11-02,2023-11-08,15,21.0,6.0,0,Partial,69,53,Strike,1
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00074,2023-09-29,2023-10-13,2023-10-21,14,22.0,8.0,0,Partial,306,292,Weather,0
S039,Newton-Smith,Sierra Leone,Electronics,O00075,2024-05-25,2024-06-07,2024-06-06,13,12.0,-1.0,1,Completed,448,448,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00076,2024-02-18,2024-02-27,2024-03-06,9,17.0,8.0,0,Completed,985,985,Customs,1
S029,Archer Ltd,Liberia,Pharmaceuticals,O00077,2024-12-11,2024-12-29,2024-12-30,18,19.0,1.0,0,Completed,703,703,Supplier delay,0
S029,Archer Ltd,Liberia,Pharmaceuticals,O00078,2024-03-05,2024-03-14,2024-03-12,9,7.0,-2.0,1,Completed,969,969,,1
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00079,2024-09-28,2024-10-26,2024-11-02,28,35.0,7.0,0,Partial,540,532,Weather,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00080,2024-04-29,2024-05-24,2024-05-25,25,26.0,1.0,0,Completed,558,558,Customs,1
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00081,2024-12-15,2024-12-20,2024-12-22,5,7.0,2.0,0,Completed,450,450,Customs,1
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00082,2025-04-26,2025-05-16,,20,,,1,Cancelled,529,0,,0
S028,Howe Group,Nauru,Pharmaceuticals,O00083,2025-07-23,2025-08-17,2025-08-12,25,20.0,-5.0,1,Partial,950,946,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00084,2025-03-08,2025-03-15,2025-03-16,7,8.0,1.0,0,Completed,494,494,Unknown,1
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00085,2025-02-17,2025-03-07,2025-03-09,18,20.0,2.0,0,Completed,812,812,Weather,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00086,2025-06-04,2025-06-18,2025-06-09,14,5.0,-9.0,1,Partial,938,926,,1
S043,"Garza, Martin And Thomas",Greece,Food,O00087,2025-07-19,2025-07-28,,9,,,1,Cancelled,678,0,,0
S043,"Garza, Martin And Thomas",Greece,Food,O00088,2025-07-24,2025-08-21,2025-08-19,28,26.0,-2.0,1,Partial,920,901,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00089,2024-03-02,2024-03-29,2024-03-30,27,28.0,1.0,0,Partial,936,923,Supplier delay,1
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00090,2024-10-11,2024-10-17,2024-10-19,6,8.0,2.0,0,Completed,482,482,Weather,1
S001,Jenkins Inc,Mongolia,Clothing,O00091,2023-10-25,2023-11-23,2023-11-30,29,36.0,7.0,0,Completed,396,396,Weather,1
S033,Romero-Phillips,Mauritania,Automotive,O00092,2024-01-18,2024-01-28,2024-01-24,10,6.0,-4.0,1,Partial,506,505,,0
S029,Archer Ltd,Liberia,Pharmaceuticals,O00093,2023-10-17,2023-11-03,2023-11-04,17,18.0,1.0,0,Partial,966,957,Weather,0
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00094,2024-05-01,2024-05-10,2024-05-06,9,5.0,-4.0,1,Completed,812,812,,0
S024,Simmons Plc,Isle of Man,Automotive,O00095,2023-10-26,2023-11-20,2023-11-15,25,20.0,-5.0,1,Completed,166,166,,1
S038,Castaneda Group,Kyrgyz Republic,Food,O00096,2024-02-12,2024-02-28,2024-02-29,16,17.0,1.0,0,Completed,858,858,Supplier delay,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00097,2024-06-17,2024-06-30,2024-06-19,13,2.0,-11.0,1,Completed,519,519,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00098,2025-03-19,2025-04-14,2025-04-23,26,35.0,9.0,0,Completed,700,700,Weather,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00099,2024-10-26,2024-10-31,2024-10-27,5,1.0,-4.0,1,Completed,375,375,,1
S002,Mason Plc,United States Virgin Islands,Food,O00100,2023-09-08,2023-10-02,2023-09-29,24,21.0,-3.0,1,Completed,819,819,,0
S040,Romero Ltd,Jamaica,Food,O00101,2023-12-18,2024-01-06,2024-01-06,19,19.0,0.0,1,Completed,129,129,,0
S041,Coleman-Duncan,Zimbabwe,Pharmaceuticals,O00102,2024-03-27,2024-04-18,2024-04-21,22,25.0,3.0,0,Partial,677,673,Customs,0
S033,Romero-Phillips,Mauritania,Automotive,O00103,2025-01-21,2025-02-16,2025-02-10,26,20.0,-6.0,1,Completed,114,114,,1
S002,Mason Plc,United States Virgin Islands,Food,O00104,2025-01-18,2025-02-08,2025-02-14,21,27.0,6.0,0,Completed,128,128,Weather,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00105,2024-02-18,2024-03-10,2024-03-16,21,27.0,6.0,0,Completed,826,826,Weather,1
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00106,2025-03-24,2025-04-11,2025-04-08,18,15.0,-3.0,1,Completed,284,284,,0
S008,Rowe-Ward,Anguilla,Food,O00107,2025-07-26,2025-08-15,2025-08-24,20,29.0,9.0,0,Completed,482,482,Supplier delay,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00108,2023-11-20,2023-11-25,2023-12-06,5,16.0,11.0,0,Partial,477,472,Unknown,0
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00109,2023-12-09,2024-01-07,2024-01-13,29,35.0,6.0,0,Completed,71,71,Supplier delay,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00110,2024-05-21,2024-06-19,2024-06-20,29,30.0,1.0,0,Partial,601,585,Supplier delay,0
S020,Mills Ltd,Rwanda,Automotive,O00111,2025-05-20,2025-06-18,2025-06-18,29,29.0,0.0,1,Completed,71,71,,1
S043,"Garza, Martin And Thomas",Greece,Food,O00112,2024-05-02,2024-05-07,2024-05-07,5,5.0,0.0,1,Completed,942,942,,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00113,2025-02-05,2025-03-05,2025-03-07,28,30.0,2.0,0,Completed,217,217,Supplier delay,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00114,2025-05-03,2025-05-29,2025-06-05,26,33.0,7.0,0,Completed,810,810,Weather,1
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00115,2024-09-13,2024-09-18,2024-09-23,5,10.0,5.0,0,Completed,605,605,Strike,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00116,2023-09-14,2023-10-11,2023-10-08,27,24.0,-3.0,1,Partial,827,825,,0
S028,Howe Group,Nauru,Pharmaceuticals,O00117,2025-04-07,2025-04-13,2025-04-18,6,11.0,5.0,0,Completed,489,489,Weather,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00118,2025-07-22,2025-08-13,2025-08-03,22,12.0,-10.0,1,Completed,423,423,,0
S033,Romero-Phillips,Mauritania,Automotive,O00119,2025-02-09,2025-02-17,2025-02-10,8,1.0,-7.0,1,Completed,742,742,,0
S020,Mills Ltd,Rwanda,Automotive,O00120,2025-07-29,2025-08-05,2025-08-11,7,13.0,6.0,0,Completed,309,309,Customs,0
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00121,2025-08-11,2025-08-19,2025-08-17,8,6.0,-2.0,1,Partial,523,512,,0
S028,Howe Group,Nauru,Pharmaceuticals,O00122,2024-11-09,2024-11-18,2024-11-17,9,8.0,-1.0,1,Completed,922,922,,1
S004,"Clark, Douglas And Jordan",Isle of Man,Food,O00123,2024-06-14,2024-07-01,2024-06-30,17,16.0,-1.0,1,Completed,893,893,,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00124,2024-04-23,2024-05-10,2024-05-08,17,15.0,-2.0,1,Completed,577,577,,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00125,2024-12-03,2024-12-12,2024-12-18,9,15.0,6.0,0,Completed,1000,1000,Weather,0
S028,Howe Group,Nauru,Pharmaceuticals,O00126,2023-12-05,2023-12-15,2023-12-16,10,11.0,1.0,0,Completed,883,883,Customs,1
S024,Simmons Plc,Isle of Man,Automotive,O00127,2024-06-25,2024-07-16,2024-07-17,21,22.0,1.0,0,Completed,506,506,Supplier delay,1
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00128,2023-09-05,2023-09-30,2023-10-13,25,38.0,13.0,0,Completed,990,990,Supplier delay,0
S017,"Davis, Crawford And Conrad",Saint Lucia,Clothing,O00129,2023-10-12,2023-10-19,2023-10-20,7,8.0,1.0,0,Completed,541,541,Supplier delay,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00130,2024-05-22,2024-06-19,2024-06-21,28,30.0,2.0,0,Partial,149,139,Unknown,0
S042,Casey Plc,Colombia,Clothing,O00131,2025-01-13,2025-02-08,2025-02-10,26,28.0,2.0,0,Completed,516,516,Strike,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00132,2025-04-05,2025-04-16,2025-04-10,11,5.0,-6.0,1,Partial,859,850,,0
S019,Phillips-Owens,Bosnia and Herzegovina,Clothing,O00133,2024-12-14,2025-01-07,2025-01-01,24,18.0,-6.0,1,Completed,101,101,,0
S026,Reid Llc,South Africa,Automotive,O00134,2025-02-05,2025-02-16,2025-02-16,11,11.0,0.0,1,Partial,829,821,,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00135,2024-08-17,2024-09-14,2024-09-15,28,29.0,1.0,0,Partial,448,447,Supplier delay,0
S026,Reid Llc,South Africa,Automotive,O00136,2024-10-26,2024-11-11,2024-11-16,16,21.0,5.0,0,Partial,718,715,Weather,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00137,2024-01-25,2024-02-14,2024-02-18,20,24.0,4.0,0,Partial,217,198,Strike,0
S035,Meadows-Carr,Vanuatu,Food,O00138,2025-09-01,2025-09-28,2025-10-06,27,35.0,8.0,0,Completed,763,763,Customs,1
S031,Johnson Plc,Northern Mariana Islands,Automotive,O00139,2025-05-03,2025-05-23,2025-05-19,20,16.0,-4.0,1,Completed,219,219,,0
S044,Francis Ltd,Colombia,Clothing,O00140,2024-07-25,2024-08-19,2024-08-26,25,32.0,7.0,0,Completed,865,865,Unknown,0
S029,Archer Ltd,Liberia,Pharmaceuticals,O00141,2024-09-10,2024-09-22,2024-09-14,12,4.0,-8.0,1,Completed,463,463,,0
S034,Cruz And Sons,Portugal,Pharmaceuticals,O00142,2024-03-26,2024-04-23,2024-04-29,28,34.0,6.0,0,Completed,304,304,Supplier delay,0
S006,"Drake, Davidson And Moreno",Greece,Food,O00143,2024-05-13,2024-05-22,2024-05-21,9,8.0,-1.0,1,Completed,520,520,,1
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00144,2024-04-12,2024-04-20,,8,,,1,Cancelled,728,0,,0
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00145,2024-09-15,2024-10-01,2024-10-03,16,18.0,2.0,0,Completed,264,264,Customs,0
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00146,2025-05-07,2025-06-06,2025-06-03,30,27.0,-3.0,1,Completed,633,633,,0
S033,Romero-Phillips,Mauritania,Automotive,O00147,2025-06-11,2025-06-16,2025-06-16,5,5.0,0.0,1,Partial,967,951,,0
S025,Francis Group,Tokelau,Automotive,O00148,2024-08-13,2024-09-06,2024-09-04,24,22.0,-2.0,1,Completed,734,734,,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00149,2024-03-22,2024-04-20,2024-04-20,29,29.0,0.0,1,Completed,116,116,,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00150,2025-02-09,2025-02-24,,15,,,1,Cancelled,978,0,,0
S038,Castaneda Group,Kyrgyz Republic,Food,O00151,2024-10-20,2024-11-04,2024-11-06,15,17.0,2.0,0,Completed,785,785,Customs,1
S050,Wright-Stewart,Azerbaijan,Automotive,O00152,2024-11-12,2024-11-25,2024-11-27,13,15.0,2.0,0,Completed,989,989,Unknown,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00153,2024-09-26,2024-10-25,2024-10-19,29,23.0,-6.0,1,Partial,614,595,,0
S036,"Perez, Watson And Jones",Angola,Electronics,O00154,2025-02-24,2025-03-07,2025-03-15,11,19.0,8.0,0,Completed,75,75,Strike,0
S005,Smith-Mcgee,Albania,Pharmaceuticals,O00155,2023-10-01,2023-10-23,2023-10-18,22,17.0,-5.0,1,Completed,75,75,,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00156,2025-08-27,2025-09-13,,17,,,1,Cancelled,499,0,,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00157,2024-09-14,2024-09-24,2024-09-29,10,15.0,5.0,0,Completed,316,316,Strike,1
S011,Liu-Gomez,Guam,Clothing,O00158,2024-12-11,2025-01-10,2025-01-04,30,24.0,-6.0,1,Partial,140,123,,0
S040,Romero Ltd,Jamaica,Food,O00159,2024-12-13,2024-12-22,2024-12-17,9,4.0,-5.0,1,Completed,100,100,,0
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00160,2024-05-02,2024-05-23,2024-05-25,21,23.0,2.0,0,Completed,451,451,Strike,1
S049,"Pennington, Perry And Bailey",British Virgin Islands,Automotive,O00161,2025-05-24,2025-06-03,2025-06-02,10,9.0,-1.0,1,Partial,235,232,,0
S047,"Riley, Dixon And Williams",Kenya,Pharmaceuticals,O00162,2024-04-04,2024-04-25,2024-04-26,21,22.0,1.0,0,Partial,480,462,Customs,0
S006,"Drake, Davidson And Moreno",Greece,Food,O00163,2024-03-05,2024-03-18,2024-03-23,13,18.0,5.0,0,Partial,755,752,Supplier delay,0
S020,Mills Ltd,Rwanda,Automotive,O00164,2023-09-12,2023-10-02,2023-09-27,20,15.0,-5.0,1,Completed,443,443,,0
S025,Francis Group,Tokelau,Automotive,O00165,2024-10-16,2024-11-05,2024-10-28,20,12.0,-8.0,1,Completed,71,71,,1
S010,"Rodriguez, Sparks And Jackson",Brunei Darussalam,Automotive,O00166,2023-12-27,2024-01-03,2023-12-28,7,1.0,-6.0,1,Completed,737,737,,0
S028,Howe Group,Nauru,Pharmaceuticals,O00167,2024-07-11,2024-07-27,2024-08-01,16,21.0,5.0,0,Completed,598,598,Weather,0
S028,Howe Group,Nauru,Pharmaceuticals,O00168,2024-04-22,2024-05-17,2024-05-16,25,24.0,-1.0,1,Completed,696,696,,1
S015,"Andersen, Thompson And Cook",British Indian Ocean Territory (Chagos Archipelago),Clothing,O00169,2025-02-20,2025-03-15,2025-03-24,23,32.0,9.0,0,Completed,716,716,Supplier delay,1
S014,Anthony Inc,Saint Kitts and Nevis,Food,O00170,2025-05-30,2025-06-22,2025-06-29,23,30.0,7.0,0,Partial,700,687,Unknown,0
S020,Mills Ltd,Rwanda,Automotive,O00171,2025-07-24,2025-08-10,2025-08-15,17,22.0,5.0,0,Completed,723,723,Weather,0
S021,Taylor-Collins,Sri Lanka,Clothing,O00172,2024-02-12,2024-03-07,2024-03-13,24,30.0,6.0,0,Completed,996,996,Customs,1
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00173,2024-09-30,2024-10-20,,20,,,1,Cancelled,203,0,,0
S036,"Perez, Watson And Jones",Angola,Electronics,O00174,2025-03-01,2025-03-18,2025-03-23,17,22.0,5.0,0,Completed,175,175,Weather,0
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00175,2023-12-16,2023-12-26,2023-12-23,10,7.0,-3.0,1,Partial,743,730,,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00176,2025-08-30,2025-09-13,2025-09-16,14,17.0,3.0,0,Partial,126,121,Unknown,0
S016,"Mcdonald, Nunez And Sullivan",Saint Helena,Automotive,O00177,2024-05-31,2024-06-24,2024-06-24,24,24.0,0.0,1,Completed,542,542,,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00178,2025-03-22,2025-04-04,2025-04-07,13,16.0,3.0,0,Partial,131,117,Strike,0
